Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Sale_HK,Customer_HK,Product_HK,Shipment_ID
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568,c439807011166e8c82355cc78839349a26f4d362c9a13fbaa17be2954565ae8a,438aeac57745dfc6406aeb37deb129488d881e64e56527cc06609de6b2fc3197,cac0de0d8570bd732dde9e1ddb164c41177bd2f048bc29568da918ccaf63d026,d2b7d9e0a0339e830d581be9b469c14d68a20edd7d6b08c6fc567abb431645d0
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552,3,0.2,5.4432,966af2a65735cbfe62dafeb524385eaac671a3115be5b0fec7481cfe8bdb45e4,2f9d756c00d42c5b123625f541f839d2249adaab4b57b54894aca4de85f646a6,30c6b18cf7bd3ab84eb118c1ab437367d4710206a308e3b3e2186e7898b56d8a,1f1dcfd391087e505403b422e22481457c522ad8aee920febfc1552eb1d1d54d
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.976,3,0.2,132.5922,e50fff3ea5d84198d6ef50f7786ce80d456e4b92518d67fe29509dca3a835d74,62daa4637a23d738e675045f6461e50fdb55092e245e547e0c4a0d5bf51d4015,cc485d74b83d26a28d9941b5c18c83be9bff6a4389fad7c654148318fc633b5e,cc29cde8dafffb80d9822c3b8947c4c24ac3e9927681b2936606ae5b3d541ede
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,fdfa472e59848c001933c2cf8da67df3002346effbb9ca9c483f234d2c873ab3,cf692a266e3966587110fe0f55eab18564888c42275d844cd9ccea2dee25e2ca,9dd41cc5495c54f1715a54124bb37460bdd77b1aa49f2738274c5c4338d1e156,bd4c5090354c8f185b19f25e83d120db0ca28ba37957a0229417b0a48d9328f9
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,fdfa472e59848c001933c2cf8da67df3002346effbb9ca9c483f234d2c873ab3,cf692a266e3966587110fe0f55eab18564888c42275d844cd9ccea2dee25e2ca,cc485d74b83d26a28d9941b5c18c83be9bff6a4389fad7c654148318fc633b5e,bd4c5090354c8f185b19f25e83d120db0ca28ba37957a0229417b0a48d9328f9
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,5be5b847cae4a44538ab59d7590611fecb831b04e787cb57638bfcae412f42ad,ffe23f630637e5e451c62fd44037abe0f133d2d86c51e7a843aceb33a49d87de,9fd7e5c50749b57a960c713ec78f948afda0a2eab56b53ab92f0c2b3f1a70677,f75e0938ae4874a4790833de711da903f9d0d8d5833183fe1e527457df1ba668
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.0,9.99,55c479b0bffbc30ed762692f53d61c7d76df507b3d458e4d3845e4f74faffa1f,67792074fd5f8ec116fee09b5304f31aa55175b2420fa9d84502634896a5e0e8,9fd7e5c50749b57a960c713ec78f948afda0a2eab56b53ab92f0c2b3f1a70677,1b59df51c70449209b9ee7917b06a95dd188ff3fe2c9741c0eef15c5ba3a79e0
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0.0,2.4824,a239adf2ec4e91196cf97ac0354d36f5847fdcd11c1710dea639e9b8449b5349,f7580ad55e9fb470cd977ef66953be16b242255d4f202d90a611025ace398515,4472cba9f09ae8e0f6727f7c2c13dd19abde54ab2a4ae4a2d5d8b562d7bd7392,57ef0dac65c3e9fa86e26d25db7384271e225b2ff559cd82b9ff27b8b6dbfcbe
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011,a239adf2ec4e91196cf97ac0354d36f5847fdcd11c1710dea639e9b8449b5349,f7580ad55e9fb470cd977ef66953be16b242255d4f202d90a611025ace398515,cac0de0d8570bd732dde9e1ddb164c41177bd2f048bc29568da918ccaf63d026,57ef0dac65c3e9fa86e26d25db7384271e225b2ff559cd82b9ff27b8b6dbfcbe
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384,a239adf2ec4e91196cf97ac0354d36f5847fdcd11c1710dea639e9b8449b5349,f7580ad55e9fb470cd977ef66953be16b242255d4f202d90a611025ace398515,cc485d74b83d26a28d9941b5c18c83be9bff6a4389fad7c654148318fc633b5e,57ef0dac65c3e9fa86e26d25db7384271e225b2ff559cd82b9ff27b8b6dbfcbe
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0.0,5.0596,99a726a302cbe5ca9dad2cecffea9ad1237ffb1b2d8c7bf348f5b2160e316a62,f41097b1b3b6e29d15eef7866abdb15ac6035443cda93b3f8d191d764daa9dc4,4472cba9f09ae8e0f6727f7c2c13dd19abde54ab2a4ae4a2d5d8b562d7bd7392,aea7d5e39d861d4a9a981c5c408a25037605fcd3fd5738841bf2deddfa7e4621
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,99a726a302cbe5ca9dad2cecffea9ad1237ffb1b2d8c7bf348f5b2160e316a62,f41097b1b3b6e29d15eef7866abdb15ac6035443cda93b3f8d191d764daa9dc4,9dd41cc5495c54f1715a54124bb37460bdd77b1aa49f2738274c5c4338d1e156,aea7d5e39d861d4a9a981c5c408a25037605fcd3fd5738841bf2deddfa7e4621
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,27b58f8c75b398106958755c3a5b77d8e32e8a23d992a03afe29953b4546b20b,4f1e1d23f49b7d2d0784eea48f9233a1815aea4979ec1e5dc07d12d63131d4a5,1c1e670dff06ad1fb03679f3d2f33caa60dcc23e56df1721f2c24a340bc4d775,0d15dbfe5709791c0a134441146a5388ccb44ddfc5c249db102e0fd8fac90254
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.0,240.2649,8e263529fa28e6f23d7b549b0e48e9a8a6629373d65a5f2b99deda56c1f1d1ff,49ab44c81a2823258309a4b7542bd78adbb8601c8fea501f2d04a9cd6ffdb79f,ef836db9de0f9722653d1d2dabf92c642ec24dd5a546d1ff259cfc7504ca2584,fa44ffe3bb7dbc0d91e6ce23f8da7d6bb8a6995653199848ebdf236126e9d9df
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,f32826b65959f003fbdb01f2ab2674ab4bf93389048afdab7e9ad20c5300d3c6,65f6beba4485274c62d7562651ab7b275b891bd1a000f75558c9064fdad746a8,cc485d74b83d26a28d9941b5c18c83be9bff6a4389fad7c654148318fc633b5e,60ebbefb5c52be78c2c2002d64d68fa8652878491cff365718b75d6d4f42c8f4
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741,f32826b65959f003fbdb01f2ab2674ab4bf93389048afdab7e9ad20c5300d3c6,65f6beba4485274c62d7562651ab7b275b891bd1a000f75558c9064fdad746a8,42a6faf2bc6ba2f5d9a61dd0dbc753d7840fb08c9e3cf0c2300ab104adaee4eb,60ebbefb5c52be78c2c2002d64d68fa8652878491cff365718b75d6d4f42c8f4
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,27b58f8c75b398106958755c3a5b77d8e32e8a23d992a03afe29953b4546b20b,4f1e1d23f49b7d2d0784eea48f9233a1815aea4979ec1e5dc07d12d63131d4a5,6efa5e33128f0b4ff83694d072b80f0bdbddef88637710f4f7ef9ad8c222b56d,648068ea5d9cffa3173c72e602adaba219cc27694685e419a30662fd7ac6eace
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,27b58f8c75b398106958755c3a5b77d8e32e8a23d992a03afe29953b4546b20b,4f1e1d23f49b7d2d0784eea48f9233a1815aea4979ec1e5dc07d12d63131d4a5,cc485d74b83d26a28d9941b5c18c83be9bff6a4389fad7c654148318fc633b5e,648068ea5d9cffa3173c72e602adaba219cc27694685e419a30662fd7ac6eace
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,27b58f8c75b398106958755c3a5b77d8e32e8a23d992a03afe29953b4546b20b,4f1e1d23f49b7d2d0784eea48f9233a1815aea4979ec1e5dc07d12d63131d4a5,c670faa247577d88c07ddcec68dee6e33b6dcd0aa1e33c59ba856679bc485ee9,648068ea5d9cffa3173c72e602adaba219cc27694685e419a30662fd7ac6eace
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,27b58f8c75b398106958755c3a5b77d8e32e8a23d992a03afe29953b4546b20b,4f1e1d23f49b7d2d0784eea48f9233a1815aea4979ec1e5dc07d12d63131d4a5,0ef9a41f595ba40f20b3a3f3bc67c9b4f7eb39bd8cbddb6b1a7ed9bdbc2af74d,648068ea5d9cffa3173c72e602adaba219cc27694685e419a30662fd7ac6eace
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,27b58f8c75b398106958755c3a5b77d8e32e8a23d992a03afe29953b4546b20b,4f1e1d23f49b7d2d0784eea48f9233a1815aea4979ec1e5dc07d12d63131d4a5,4472cba9f09ae8e0f6727f7c2c13dd19abde54ab2a4ae4a2d5d8b562d7bd7392,648068ea5d9cffa3173c72e602adaba219cc27694685e419a30662fd7ac6eace
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715,27b58f8c75b398106958755c3a5b77d8e32e8a23d992a03afe29953b4546b20b,4f1e1d23f49b7d2d0784eea48f9233a1815aea4979ec1e5dc07d12d63131d4a5,cc485d74b83d26a28d9941b5c18c83be9bff6a4389fad7c654148318fc633b5e,648068ea5d9cffa3173c72e602adaba219cc27694685e419a30662fd7ac6eace
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546,27b58f8c75b398106958755c3a5b77d8e32e8a23d992a03afe29953b4546b20b,4f1e1d23f49b7d2d0784eea48f9233a1815aea4979ec1e5dc07d12d63131d4a5,4472cba9f09ae8e0f6727f7c2c13dd19abde54ab2a4ae4a2d5d8b562d7bd7392,648068ea5d9cffa3173c72e602adaba219cc27694685e419a30662fd7ac6eace
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,2f121f3125403897cdb4ea88deedfdca7912741609e0957a00fc2b1f8541b000,8c3e975043e49d4921155a4bd7e5e4aa07bb08fc20f0e4fecadd5a5963023d10,30c6b18cf7bd3ab84eb118c1ab437367d4710206a308e3b3e2186e7898b56d8a,1a5fa3dac811f14f9232c1be37ad9f985d0c2b7f6419aaeee26b7571ca37bbe8
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737,f5f0a6bf55160e427380dfb5b795982c39d5ce79eeffed301bed3e9879ea7109,ebd602d56e8506c9b221bb5309222577b2ccfc498f942b6b4f31543a326fbc4a,cac0de0d8570bd732dde9e1ddb164c41177bd2f048bc29568da918ccaf63d026,a5246827e2fe7ed348ee921669af15454ed0b782c30fa476adafc8ea1bb3f0b6
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,f5f0a6bf55160e427380dfb5b795982c39d5ce79eeffed301bed3e9879ea7109,ebd602d56e8506c9b221bb5309222577b2ccfc498f942b6b4f31543a326fbc4a,c670faa247577d88c07ddcec68dee6e33b6dcd0aa1e33c59ba856679bc485ee9,a5246827e2fe7ed348ee921669af15454ed0b782c30fa476adafc8ea1bb3f0b6
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,fd75b4ca9d208bde713f32abac0fcd3ecdb38ede8f8aed6410dd6e678a630319,6b13749cb024a7cb373dba50a981e2a27b6d97efbac81603b916f684feedca26,0ef9a41f595ba40f20b3a3f3bc67c9b4f7eb39bd8cbddb6b1a7ed9bdbc2af74d,ebc6c3e4622a06817a4daf36ed5b924006d304bd18bfc615cb0d0e669816772d
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,fd75b4ca9d208bde713f32abac0fcd3ecdb38ede8f8aed6410dd6e678a630319,6b13749cb024a7cb373dba50a981e2a27b6d97efbac81603b916f684feedca26,6efa5e33128f0b4ff83694d072b80f0bdbddef88637710f4f7ef9ad8c222b56d,ebc6c3e4622a06817a4daf36ed5b924006d304bd18bfc615cb0d0e669816772d
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,fd75b4ca9d208bde713f32abac0fcd3ecdb38ede8f8aed6410dd6e678a630319,6b13749cb024a7cb373dba50a981e2a27b6d97efbac81603b916f684feedca26,1c1e670dff06ad1fb03679f3d2f33caa60dcc23e56df1721f2c24a340bc4d775,ebc6c3e4622a06817a4daf36ed5b924006d304bd18bfc615cb0d0e669816772d
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,fd75b4ca9d208bde713f32abac0fcd3ecdb38ede8f8aed6410dd6e678a630319,6b13749cb024a7cb373dba50a981e2a27b6d97efbac81603b916f684feedca26,cac0de0d8570bd732dde9e1ddb164c41177bd2f048bc29568da918ccaf63d026,ebc6c3e4622a06817a4daf36ed5b924006d304bd18bfc615cb0d0e669816772d
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,271c896273d817440ac7c3938b273bdf5bea03dee35b8e5f25f2dce67997078c,c7fc4e609540fe4a4601d38b3d29170361bceb9e4dcc41cb7f4f96c5bd02a17d,cac0de0d8570bd732dde9e1ddb164c41177bd2f048bc29568da918ccaf63d026,f9a2a9a3bac3bb526aa206a0d66e7188088d20a60a60769f1305294647ac9066
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894,f32826b65959f003fbdb01f2ab2674ab4bf93389048afdab7e9ad20c5300d3c6,c3f73b4ef3ccbc2dbe550b4b9a42c01dee26b22d21e195f14adcb1ab473df304,9fd7e5c50749b57a960c713ec78f948afda0a2eab56b53ab92f0c2b3f1a70677,6297e21bba9ed0ab946f51a74d5f6a7cdc4aa030211c136bde40ecb5effc54a0
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,8a43214facae6b2a4e11fc050a3c47beb43d12b0597e2e3d48283ae8b3bc8ff3,b98a84efb532ddd1c8233fc054f1c12b3be22e8f620862bb6ef7e54f477314f4,9fd7e5c50749b57a960c713ec78f948afda0a2eab56b53ab92f0c2b3f1a70677,cec8fe7caebf8bf07ad5836c08aa46ec1586805107a1d3c191c28d0ebf0d35a0
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,5bc1a65aad37dae97870528de15834d3fda55a3726c3d34e3a94da7154187c58,ab7c664d6020d2fad0e3135564ab8f1aec6a8fd54b99cb3d6d253910f3ac34dc,42a6faf2bc6ba2f5d9a61dd0dbc753d7840fb08c9e3cf0c2300ab104adaee4eb,3ad5d994c68dc8a3a3fb2b2fbc4f70e1a7b84cfbae8cbd331c5b5619a2a91648
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,5bc1a65aad37dae97870528de15834d3fda55a3726c3d34e3a94da7154187c58,ab7c664d6020d2fad0e3135564ab8f1aec6a8fd54b99cb3d6d253910f3ac34dc,cc485d74b83d26a28d9941b5c18c83be9bff6a4389fad7c654148318fc633b5e,3ad5d994c68dc8a3a3fb2b2fbc4f70e1a7b84cfbae8cbd331c5b5619a2a91648
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,6c694393d343b3005d2ed47c08156f8d35c726b420945a4341e02f4b223bc7a0,06aad5489045fee9e7d7f456c491ffd8a9085244ca8a9abeb89705c992597daa,9fd7e5c50749b57a960c713ec78f948afda0a2eab56b53ab92f0c2b3f1a70677,9046cfe110e1686fb9144057ca9759489f822c5119a82f90b867b09f2e6377d4
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.0,3,0.0,4.95,f1b44df93469179aced1ff3f576a309dfb65d129944b096b99199f9d81d418d6,51c6f327eb7093d2b00e1edd296922557ba28cbd592d61482e319a90dbecb896,42a6faf2bc6ba2f5d9a61dd0dbc753d7840fb08c9e3cf0c2300ab104adaee4eb,d30d98679be0e2927163230f55cca329fd95075c33d8afe2c6b1c6d7bdf28e16
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0.0,6.104,f1b44df93469179aced1ff3f576a309dfb65d129944b096b99199f9d81d418d6,51c6f327eb7093d2b00e1edd296922557ba28cbd592d61482e319a90dbecb896,cac0de0d8570bd732dde9e1ddb164c41177bd2f048bc29568da918ccaf63d026,d30d98679be0e2927163230f55cca329fd95075c33d8afe2c6b1c6d7bdf28e16
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,840c46ba5805d6902b73cb186828701aba7ad3ab4d7ba40c1b53ffd204338e0f,6b4ff929bc7dc096ad0440b7bda1c78bfc539337358023c6410505a0ed600e89,cc485d74b83d26a28d9941b5c18c83be9bff6a4389fad7c654148318fc633b5e,5662eb0c40dcb031accc21f1b7be35eaf21177be436d5ff2390337191c3ec7bb
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,840c46ba5805d6902b73cb186828701aba7ad3ab4d7ba40c1b53ffd204338e0f,6b4ff929bc7dc096ad0440b7bda1c78bfc539337358023c6410505a0ed600e89,e7b0c0dae328cd419c24f795525f08290cb6afe5be9aa90178ae0ac8bf31a8d3,5662eb0c40dcb031accc21f1b7be35eaf21177be436d5ff2390337191c3ec7bb
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,840c46ba5805d6902b73cb186828701aba7ad3ab4d7ba40c1b53ffd204338e0f,6b4ff929bc7dc096ad0440b7bda1c78bfc539337358023c6410505a0ed600e89,c670faa247577d88c07ddcec68dee6e33b6dcd0aa1e33c59ba856679bc485ee9,5662eb0c40dcb031accc21f1b7be35eaf21177be436d5ff2390337191c3ec7bb
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0.0,17.0981,840c46ba5805d6902b73cb186828701aba7ad3ab4d7ba40c1b53ffd204338e0f,6b4ff929bc7dc096ad0440b7bda1c78bfc539337358023c6410505a0ed600e89,1c1e670dff06ad1fb03679f3d2f33caa60dcc23e56df1721f2c24a340bc4d775,5662eb0c40dcb031accc21f1b7be35eaf21177be436d5ff2390337191c3ec7bb
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,aa49202686f28b13e2344d370a2e295695d73cf5f53e013a430c880eb6505b9b,170d52417e06e46d7108b3b22d06555392d7dd70be2f5fb519454a5b597e148e,a5bcc9330ceb889c53ad0b690a99ecdd56e5508a206f09bc6d09910c229cf3c7,b734707d9c46e37a421b03164bf23cd5a5d1fc23084d626f108b8c1cc832bb52
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5,0.0,298.6855,aa49202686f28b13e2344d370a2e295695d73cf5f53e013a430c880eb6505b9b,170d52417e06e46d7108b3b22d06555392d7dd70be2f5fb519454a5b597e148e,cac0de0d8570bd732dde9e1ddb164c41177bd2f048bc29568da918ccaf63d026,b734707d9c46e37a421b03164bf23cd5a5d1fc23084d626f108b8c1cc832bb52
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0.0,52.14,a0386623cb18f906459cc0714794e15bda0cee392708b6bfe37fbfa6d24efad2,c765c0d70532ecb312bbfdb8a0bab009dcd0652fdff305dbdca29781f85c0a41,9fd7e5c50749b57a960c713ec78f948afda0a2eab56b53ab92f0c2b3f1a70677,a3c6fda6a484ea6b641fc777a4b95b0580011bb494727a0a02b309ea04524681
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0.0,15.552,a0386623cb18f906459cc0714794e15bda0cee392708b6bfe37fbfa6d24efad2,c765c0d70532ecb312bbfdb8a0bab009dcd0652fdff305dbdca29781f85c0a41,30c6b18cf7bd3ab84eb118c1ab437367d4710206a308e3b3e2186e7898b56d8a,a3c6fda6a484ea6b641fc777a4b95b0580011bb494727a0a02b309ea04524681
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098,a0386623cb18f906459cc0714794e15bda0cee392708b6bfe37fbfa6d24efad2,c765c0d70532ecb312bbfdb8a0bab009dcd0652fdff305dbdca29781f85c0a41,1c1e670dff06ad1fb03679f3d2f33caa60dcc23e56df1721f2c24a340bc4d775,a3c6fda6a484ea6b641fc777a4b95b0580011bb494727a0a02b309ea04524681
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888,a0386623cb18f906459cc0714794e15bda0cee392708b6bfe37fbfa6d24efad2,c765c0d70532ecb312bbfdb8a0bab009dcd0652fdff305dbdca29781f85c0a41,30c6b18cf7bd3ab84eb118c1ab437367d4710206a308e3b3e2186e7898b56d8a,a3c6fda6a484ea6b641fc777a4b95b0580011bb494727a0a02b309ea04524681
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30.0,2,0.0,3.3,a0386623cb18f906459cc0714794e15bda0cee392708b6bfe37fbfa6d24efad2,c765c0d70532ecb312bbfdb8a0bab009dcd0652fdff305dbdca29781f85c0a41,42a6faf2bc6ba2f5d9a61dd0dbc753d7840fb08c9e3cf0c2300ab104adaee4eb,a3c6fda6a484ea6b641fc777a4b95b0580011bb494727a0a02b309ea04524681
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362,a0386623cb18f906459cc0714794e15bda0cee392708b6bfe37fbfa6d24efad2,c765c0d70532ecb312bbfdb8a0bab009dcd0652fdff305dbdca29781f85c0a41,cc485d74b83d26a28d9941b5c18c83be9bff6a4389fad7c654148318fc633b5e,a3c6fda6a484ea6b641fc777a4b95b0580011bb494727a0a02b309ea04524681
